"start_terminal","duration_seconds","difference"
31002,378,73
31002,1202,824
31002,41427,40225
31007,173,13
31101,406,147
31101,410,4
31101,485,75
31101,913,428
31102,590,119
31103,354,221
31104,494,266
31104,886,392
31107,357,39
31107,1035,678
31107,1060,25
31109,663,347
31111,1130,313
31116,614,44
31116,845,231
31200,931,236
31201,170,28
31201,267,97
31201,460,193
31201,499,39
31201,1185,686
31201,1212,27
31202,450,25
31203,506,58
31205,1651,137
31214,410,166
31214,558,148
31214,606,48
31214,956,350
31214,1206,250
31218,198,19
31223,547,41
31230,1045,6
31241,1150,145
31241,1226,76
31305,457,324
31400,1162,17
31602,398,284
31603,952,30
31606,438,281
31606,444,6
31606,460,16
31606,468,8
31613,542,301
31623,477,117
31623,543,66
